RateChangeDate,paidAmountSum
2006-06-30 00:00:00,12.45
2007-01-26 00:00:00,26.923
2007-11-11 00:00:00,86.5384
2007-12-05 00:00:00,17.24
2007-12-11 00:00:00,50.0
2007-12-20 00:00:00,48.0
2007-12-26 00:00:00,50.0
2008-01-06 00:00:00,78.83460000000001
2008-01-07 00:00:00,13.45
2008-01-08 00:00:00,17.24
2008-01-24 00:00:00,65.3846
2008-01-31 00:00:00,126.923
2008-02-02 00:00:00,13.45
2008-02-08 00:00:00,50.0
2008-02-20 00:00:00,13.45
2008-02-27 00:00:00,50.0
2008-03-10 00:00:00,13.45
2008-03-17 00:00:00,50.0
2008-03-28 00:00:00,13.45
2008-12-01 00:00:00,58.5384
2008-12-02 00:00:00,26.5
2008-12-03 00:00:00,50.0
2008-12-04 00:00:00,93.9038
2008-12-05 00:00:00,11.0
2008-12-06 00:00:00,69.27879999999999
2008-12-07 00:00:00,58.0
2008-12-08 00:00:00,62.45
2008-12-09 00:00:00,67.2692
2008-12-11 00:00:00,100.9616
2008-12-12 00:00:00,101.96159999999999
2008-12-13 00:00:00,36.5384
2008-12-14 00:00:00,61.3654
2008-12-15 00:00:00,72.45
2008-12-16 00:00:00,47.6538
2008-12-17 00:00:00,38.45
2008-12-18 00:00:00,38.0
2008-12-19 00:00:00,20.5
2008-12-21 00:00:00,6.5
2008-12-22 00:00:00,65.0
2008-12-23 00:00:00,68.80760000000001
2008-12-24 00:00:00,26.0
2008-12-25 00:00:00,130.7114
2008-12-26 00:00:00,18.5
2008-12-27 00:00:00,72.45
2008-12-28 00:00:00,35.153800000000004
2008-12-29 00:00:00,94.1808
2008-12-31 00:00:00,15.0
2009-01-01 00:00:00,47.5384
2009-01-02 00:00:00,60.41159999999999
2009-01-03 00:00:00,60.0
2009-01-04 00:00:00,77.027
2009-01-05 00:00:00,15.0
2009-01-06 00:00:00,49.0
2009-01-07 00:00:00,9.5
2009-01-08 00:00:00,10.0
2009-01-10 00:00:00,15.0
2009-01-11 00:00:00,79.80760000000001
2009-01-12 00:00:00,81.7692
2009-01-13 00:00:00,11.0
2009-01-14 00:00:00,310.5
2009-01-15 00:00:00,31.1538
2009-01-16 00:00:00,88.2308
2009-01-17 00:00:00,105.923
2009-01-18 00:00:00,39.846199999999996
2009-01-20 00:00:00,30.0
2009-01-21 00:00:00,71.95
2009-01-22 00:00:00,121.423
2009-01-23 00:00:00,12.45
2009-01-24 00:00:00,38.0
2009-01-25 00:00:00,11.0
2009-01-26 00:00:00,41.5
2009-01-27 00:00:00,66.75
2009-01-29 00:00:00,27.45
2009-01-30 00:00:00,69.4712
2009-01-31 00:00:00,98.62
2009-02-01 00:00:00,50.0
2009-02-02 00:00:00,37.653800000000004
2009-02-03 00:00:00,237.07680000000002
2009-02-04 00:00:00,93.327
2009-02-05 00:00:00,26.0
2009-02-06 00:00:00,27.8846
2009-02-08 00:00:00,185.8616
2009-02-09 00:00:00,34.5
2009-02-10 00:00:00,59.9884
2009-02-11 00:00:00,49.0
2009-02-12 00:00:00,9.5
2009-02-13 00:00:00,58.0
2009-02-14 00:00:00,6.5
2009-02-15 00:00:00,77.45
2009-02-16 00:00:00,81.2576
2009-02-18 00:00:00,63.8846
2009-02-19 00:00:00,9.5
2009-02-20 00:00:00,60.0
2009-02-21 00:00:00,56.5
2009-02-22 00:00:00,65.0
2009-02-23 00:00:00,89.9038
2009-02-24 00:00:00,15.0
2009-02-25 00:00:00,38.8846
2009-02-26 00:00:00,90.95
2009-02-28 00:00:00,108.23079999999999
2009-03-01 00:00:00,38.0
2009-03-02 00:00:00,39.846199999999996
2009-03-03 00:00:00,48.0
2009-03-04 00:00:00,11.0
2009-03-05 00:00:00,71.95
2009-03-06 00:00:00,43.6538
2009-03-07 00:00:00,26.45
2009-03-08 00:00:00,67.8846
2009-05-03 00:00:00,84.9616
2009-07-15 00:00:00,57.5
2009-12-02 00:00:00,48.077
2009-12-03 00:00:00,12.45
2009-12-06 00:00:00,13.45
2009-12-11 00:00:00,29.0
2009-12-17 00:00:00,36.5384
2009-12-18 00:00:00,13.45
2009-12-21 00:00:00,19.5
2009-12-22 00:00:00,12.45
2009-12-25 00:00:00,26.9
2009-12-29 00:00:00,15.0
2010-01-01 00:00:00,13.45
2010-01-04 00:00:00,36.5384
2010-01-06 00:00:00,14.0
2010-01-11 00:00:00,36.5384
2010-01-12 00:00:00,13.45
2010-01-16 00:00:00,12.45
2010-01-17 00:00:00,15.0
2010-01-22 00:00:00,14.0
2010-01-23 00:00:00,36.5384
2010-01-24 00:00:00,29.0
2010-01-27 00:00:00,45.7884
2010-01-29 00:00:00,12.45
2010-01-31 00:00:00,36.5384
2010-02-01 00:00:00,13.45
2010-02-05 00:00:00,27.45
2010-02-08 00:00:00,13.45
2010-02-12 00:00:00,15.0
2010-02-13 00:00:00,14.0
2010-02-16 00:00:00,9.25
2010-02-20 00:00:00,13.45
2010-02-23 00:00:00,46.053799999999995
2010-02-27 00:00:00,13.45
2010-03-03 00:00:00,15.0
2010-03-04 00:00:00,14.0
2010-03-05 00:00:00,9.25
2010-03-07 00:00:00,9.25
2010-03-09 00:00:00,36.5384
2010-03-10 00:00:00,13.45
2010-05-31 00:00:00,47.44
2010-12-05 00:00:00,57.6924
2010-12-06 00:00:00,25.5
2010-12-23 00:00:00,50.0
2010-12-25 00:00:00,25.5
2010-12-30 00:00:00,72.1154
2011-01-04 00:00:00,96.202
2011-01-07 00:00:00,26.923
2011-01-18 00:00:00,65.3846
2011-02-07 00:00:00,28.8462
2011-02-14 00:00:00,26.923
2011-02-15 00:00:00,144.2308
2011-02-21 00:00:00,19.72
2011-05-31 00:00:00,415.38419999999996
2011-07-30 00:00:00,45.0
2011-08-31 00:00:00,27.0
2011-11-14 00:00:00,97.1154
2011-12-01 00:00:00,57.75
2011-12-15 00:00:00,59.6924
2012-01-01 00:00:00,32.0
2012-01-29 00:00:00,120.1924
2012-04-16 00:00:00,96.202
2012-04-30 00:00:00,75.0
2012-05-30 00:00:00,92.3076
2012-07-14 00:00:00,60.0
2012-09-30 00:00:00,46.1538
2013-03-14 00:00:00,96.202
2013-05-30 00:00:00,92.3076
2013-07-14 00:00:00,76.0
